dataset,model_type,lambda,distance_type,epoch,train_loss,train_acc,reg_term,embedding_norm,embedding_similarity,test_loss,test_acc,accuracy,precision,recall,f1_score,TP,FP,FN,TN,train_aucc,test_aucc
CIFAR10,CNN,0.75,cosine,4,1.10454,61.87,0.02303,92.06163,0.96165,1.09698,60.47,0.6047,0.6341,0.6047,0.60837,6047,3953,3953,86047,,
CIFAR10,CNN,0.75,cosine,5,1.03935,64.188,0.02239,95.38709,0.96228,1.06394,62.65,0.6265,0.63742,0.6265,0.61905,6265,3735,3735,86265,,
CIFAR10,CNN,0.75,cosine,6,0.98012,66.328,0.02037,102.22088,0.96426,1.01622,64.63,0.6463,0.65784,0.6463,0.64458,6463,3537,3537,86463,,
CIFAR10,CNN,0.75,cosine,7,0.93565,67.904,0.01957,105.53793,0.96506,1.02747,63.8,0.638,0.65874,0.638,0.63038,6380,3620,3620,86380,,
CIFAR10,CNN,0.75,cosine,8,0.8976,69.23,0.01866,108.5212,0.96594,0.97492,66.09,0.6609,0.67325,0.6609,0.65944,6609,3391,3391,86609,,
CIFAR10,CNN,0.75,cosine,9,0.85532,70.684,0.0176,113.15901,0.96699,0.93882,67.32,0.6732,0.67177,0.6732,0.66733,6732,3268,3268,86732,,
CIFAR10,CNN,0.75,cosine,10,0.82393,71.804,0.01688,115.3773,0.9677,0.9586,66.19,0.6619,0.69319,0.6619,0.66768,6619,3381,3381,86619,,
CIFAR10,CNN,0.75,cosine,11,0.79352,72.988,0.01615,119.15547,0.96842,0.91453,68.1,0.681,0.68281,0.681,0.67817,6810,3190,3190,86810,,
CIFAR10,CNN,0.75,cosine,12,0.76311,73.972,0.01546,122.5853,0.9691,0.91949,68.59,0.6859,0.69322,0.6859,0.68118,6859,3141,3141,86859,,
CIFAR10,CNN,0.75,cosine,13,0.73704,74.912,0.01499,125.39519,0.96956,0.90774,68.63,0.6863,0.69424,0.6863,0.68121,6863,3137,3137,86863,,
CIFAR10,CNN,0.75,cosine,14,0.70921,75.806,0.01435,128.6807,0.97019,0.90205,68.68,0.6868,0.70736,0.6868,0.68933,6868,3132,3132,86868,,
CIFAR10,CNN,0.75,cosine,15,0.68158,76.834,0.01344,134.11663,0.97109,0.93488,68.11,0.6811,0.69981,0.6811,0.6818,6811,3189,3189,86811,,
CIFAR10,CNN,0.75,cosine,16,0.65927,77.502,0.01302,137.20974,0.9715,0.8956,69.12,0.6912,0.69855,0.6912,0.69172,6912,3088,3088,86912,,
CIFAR10,CNN,0.75,cosine,17,0.63538,78.408,0.01257,140.28205,0.97194,0.88282,70.21,0.7021,0.70156,0.7021,0.69941,7021,2979,2979,87021,,
CIFAR10,CNN,0.75,cosine,18,0.61202,79.136,0.01219,143.76892,0.97232,0.9243,69.09,0.6909,0.69393,0.6909,0.6863,6909,3091,3091,86909,,
CIFAR10,CNN,0.75,cosine,19,0.58761,79.976,0.01161,148.42907,0.97288,0.90565,70.19,0.7019,0.70618,0.7019,0.69964,7019,2981,2981,87019,,
CIFAR10,CNN,0.75,cosine,20,0.56668,80.646,0.01134,151.66069,0.97316,0.93301,69.47,0.6947,0.70267,0.6947,0.69211,6947,3053,3053,86947,1335.329,1246.69
CIFAR10,CNN,1.0,cosine,1,1.70088,40.304,0.02669,61.13259,0.95805,1.41329,49.03,0.4903,0.50288,0.4903,0.47816,4903,5097,5097,84903,,
CIFAR10,CNN,1.0,cosine,2,1.37684,51.446,0.02179,92.63331,0.96287,1.30709,53.11,0.5311,0.5521,0.5311,0.52177,5311,4689,4689,85311,,
CIFAR10,CNN,1.0,cosine,3,1.24058,56.928,0.01973,102.22757,0.96489,1.19175,57.83,0.5783,0.59102,0.5783,0.56426,5783,4217,4217,85783,,
CIFAR10,CNN,1.0,cosine,4,1.13664,60.578,0.01764,110.95788,0.96695,1.13555,59.36,0.5936,0.61153,0.5936,0.58495,5936,4064,4064,85936,,
CIFAR10,CNN,1.0,cosine,5,1.0605,63.66,0.0166,116.20262,0.96798,1.05281,63.09,0.6309,0.63809,0.6309,0.62774,6309,3691,3691,86309,,
CIFAR10,CNN,1.0,cosine,6,1.00007,65.864,0.01553,121.31526,0.96903,1.01285,64.87,0.6487,0.66622,0.6487,0.65258,6487,3513,3513,86487,,
CIFAR10,CNN,1.0,cosine,7,0.95407,67.394,0.01468,125.28174,0.96987,0.95653,66.81,0.6681,0.67136,0.6681,0.6672,6681,3319,3319,86681,,
CIFAR10,CNN,1.0,cosine,8,0.90869,69.102,0.01378,130.11205,0.97075,0.92639,68.16,0.6816,0.68228,0.6816,0.67941,6816,3184,3184,86816,,
CIFAR10,CNN,1.0,cosine,9,0.87338,70.118,0.0132,132.72386,0.97132,0.92489,67.79,0.6779,0.6949,0.6779,0.67919,6779,3221,3221,86779,,
CIFAR10,CNN,1.0,cosine,10,0.83929,71.384,0.01225,137.44413,0.97226,0.91582,68.25,0.6825,0.68979,0.6825,0.6815,6825,3175,3175,86825,,
CIFAR10,CNN,1.0,cosine,11,0.80266,72.582,0.01138,143.76822,0.97311,0.89707,69.28,0.6928,0.69478,0.6928,0.68694,6928,3072,3072,86928,,
CIFAR10,CNN,1.0,cosine,12,0.7744,73.428,0.01089,146.6016,0.9736,0.87275,69.75,0.6975,0.70199,0.6975,0.69681,6975,3025,3025,86975,,
CIFAR10,CNN,1.0,cosine,13,0.74604,74.306,0.01036,150.57194,0.97412,0.86479,70.51,0.7051,0.70544,0.7051,0.70199,7051,2949,2949,87051,,
CIFAR10,CNN,1.0,cosine,14,0.72202,75.47,0.01008,152.30248,0.97439,0.88492,69.61,0.6961,0.70383,0.6961,0.69252,6961,3039,3039,86961,,
CIFAR10,CNN,1.0,cosine,15,0.6939,76.334,0.00933,158.88802,0.97513,0.87879,70.28,0.7028,0.71427,0.7028,0.69924,7028,2972,2972,87028,,
CIFAR10,CNN,1.0,cosine,16,0.66987,77.172,0.00907,161.84571,0.97539,0.85477,70.74,0.7074,0.71077,0.7074,0.7079,7074,2926,2926,87074,,
CIFAR10,CNN,1.0,cosine,17,0.64773,77.924,0.00876,165.67916,0.9757,0.85748,70.59,0.7059,0.7111,0.7059,0.7041,7059,2941,2941,87059,,
CIFAR10,CNN,1.0,cosine,18,0.62566,78.696,0.00834,170.92161,0.9761,0.86927,70.61,0.7061,0.71848,0.7061,0.70715,7061,2939,2939,87061,,
CIFAR10,CNN,1.0,cosine,19,0.60028,79.58,0.00805,174.31718,0.97639,0.85255,71.31,0.7131,0.71715,0.7131,0.71122,7131,2869,2869,87131,,
CIFAR10,CNN,1.0,cosine,20,0.57882,80.266,0.00771,179.50571,0.97672,0.85243,71.89,0.7189,0.72176,0.7189,0.719,7189,2811,2811,87189,1322.251,1262.41
CIFAR10,CNN,1.25,cosine,1,1.68235,40.418,0.02277,68.62933,0.9619,1.39533,50.19,0.5019,0.50236,0.5019,0.4918,5019,4981,4981,85019,,
CIFAR10,CNN,1.25,cosine,2,1.3663,52.158,0.01851,102.72553,0.9661,1.28564,54.41,0.5441,0.56026,0.5441,0.54357,5441,4559,4559,85441,,
CIFAR10,CNN,1.25,cosine,3,1.24353,56.584,0.01588,116.21255,0.96868,1.19173,57.87,0.5787,0.59246,0.5787,0.5734,5787,4213,4213,85787,,
CIFAR10,CNN,1.25,cosine,4,1.15156,59.998,0.01437,123.2829,0.97017,1.10512,60.78,0.6078,0.61163,0.6078,0.59878,6078,3922,3922,86078,,
CIFAR10,CNN,1.25,cosine,5,1.06996,62.836,0.01308,131.52498,0.97144,1.07181,62.45,0.6245,0.62438,0.6245,0.60918,6245,3755,3755,86245,,
CIFAR10,CNN,1.25,cosine,6,1.0079,65.322,0.01215,137.36362,0.97235,1.00935,65.15,0.6515,0.65382,0.6515,0.64444,6515,3485,3485,86515,,
CIFAR10,CNN,1.25,cosine,7,0.9529,67.3,0.01138,142.2794,0.97311,0.98343,65.45,0.6545,0.66603,0.6545,0.65519,6545,3455,3455,86545,,
CIFAR10,CNN,1.25,cosine,8,0.90774,68.908,0.01073,148.64861,0.97376,0.96775,66.66,0.6666,0.68516,0.6666,0.67227,6666,3334,3334,86666,,
CIFAR10,CNN,1.25,cosine,9,0.87131,70.212,0.01032,151.90393,0.97416,0.92355,68.06,0.6806,0.68755,0.6806,0.68009,6806,3194,3194,86806,,
CIFAR10,CNN,1.25,cosine,10,0.83711,71.36,0.00985,156.30984,0.97462,0.9361,68.32,0.6832,0.68851,0.6832,0.68207,6832,3168,3168,86832,,
CIFAR10,CNN,1.25,cosine,11,0.80425,72.438,0.0094,160.44494,0.97506,0.89737,68.8,0.688,0.69322,0.688,0.68722,6880,3120,3120,86880,,
CIFAR10,CNN,1.25,cosine,12,0.77609,73.474,0.00895,165.91744,0.9755,0.91074,68.88,0.6888,0.69835,0.6888,0.68852,6888,3112,3112,86888,,
CIFAR10,CNN,1.25,cosine,13,0.75196,74.446,0.00878,167.55523,0.97567,0.86733,69.9,0.699,0.70081,0.699,0.69737,6990,3010,3010,86990,,
CIFAR10,CNN,1.25,cosine,14,0.72123,75.238,0.00823,173.10075,0.97621,0.91447,69.33,0.6933,0.7013,0.6933,0.69027,6933,3067,3067,86933,,
CIFAR10,CNN,1.25,cosine,15,0.69658,76.154,0.00803,177.37651,0.97642,0.8847,69.87,0.6987,0.71283,0.6987,0.70104,6987,3013,3013,86987,,
CIFAR10,CNN,1.25,cosine,16,0.67459,76.934,0.00771,182.18696,0.97672,0.9023,70.21,0.7021,0.70297,0.7021,0.69827,7021,2979,2979,87021,,
CIFAR10,CNN,1.25,cosine,17,0.64774,77.944,0.0074,187.63794,0.97703,0.87881,70.26,0.7026,0.70903,0.7026,0.70353,7026,2974,2974,87026,,
CIFAR10,CNN,1.25,cosine,18,0.6256,78.434,0.00717,191.32032,0.97725,0.88177,70.51,0.7051,0.70906,0.7051,0.70275,7051,2949,2949,87051,,
CIFAR10,CNN,1.25,cosine,19,0.60346,79.44,0.00695,196.03453,0.97747,0.88264,70.63,0.7063,0.71101,0.7063,0.70461,7063,2937,2937,87063,,
CIFAR10,CNN,1.25,cosine,20,0.58013,80.312,0.0067,201.19448,0.97772,0.92401,70.14,0.7014,0.71291,0.7014,0.70127,7014,2986,2986,87014,1319.545,1257.705
CIFAR10,CNN,0.1,minkowski,1,1.82222,40.198,1.3301,10.25861,0.55328,1.44099,48.23,0.4823,0.48509,0.4823,0.4745,4823,5177,5177,84823,,
CIFAR10,CNN,0.1,minkowski,2,1.51007,51.672,1.50367,11.02864,0.48695,1.2802,54.53,0.5453,0.54438,0.5453,0.53693,5453,4547,4547,85453,,
CIFAR10,CNN,0.1,minkowski,3,1.36688,56.618,1.42351,10.37899,0.48237,1.19309,58.11,0.5811,0.59397,0.5811,0.57799,5811,4189,4189,85811,,
CIFAR10,CNN,0.1,minkowski,4,1.26035,60.456,1.35396,9.86642,0.4809,1.12666,60.86,0.6086,0.61689,0.6086,0.60731,6086,3914,3914,86086,,
CIFAR10,CNN,0.1,minkowski,5,1.17231,63.862,1.30317,9.53097,0.48545,1.0342,64.06,0.6406,0.6446,0.6406,0.63662,6406,3594,3594,86406,,
CIFAR10,CNN,0.1,minkowski,6,1.1003,66.246,1.26305,9.26681,0.49118,1.01861,64.55,0.6455,0.66033,0.6455,0.64702,6455,3545,3545,86455,,
CIFAR10,CNN,0.1,minkowski,7,1.04183,68.094,1.2235,8.96121,0.48709,0.95577,66.75,0.6675,0.66954,0.6675,0.66627,6675,3325,3325,86675,,
CIFAR10,CNN,0.1,minkowski,8,0.99302,69.7,1.18675,8.69423,0.48794,0.94998,67.28,0.6728,0.67738,0.6728,0.66801,6728,3272,3272,86728,,
CIFAR10,CNN,0.1,minkowski,9,0.95335,71.176,1.1508,8.40678,0.48206,0.91148,68.4,0.684,0.68653,0.684,0.68325,6840,3160,3160,86840,,
CIFAR10,CNN,0.1,minkowski,10,0.91408,72.378,1.12338,8.21303,0.48228,0.89621,68.98,0.6898,0.6947,0.6898,0.68916,6898,3102,3102,86898,,
CIFAR10,CNN,0.1,minkowski,11,0.88337,73.254,1.08967,7.96863,0.48212,0.87397,69.66,0.6966,0.70514,0.6966,0.69799,6966,3034,3034,86966,,
CIFAR10,CNN,0.1,minkowski,12,0.85367,74.128,1.06494,7.77095,0.47882,0.87995,69.55,0.6955,0.7022,0.6955,0.69427,6955,3045,3045,86955,,
CIFAR10,CNN,0.1,minkowski,13,0.82086,75.366,1.04767,7.64189,0.47719,0.87216,70.13,0.7013,0.70299,0.7013,0.69963,7013,2987,2987,87013,,
CIFAR10,CNN,0.1,minkowski,14,0.79417,76.288,1.02895,7.50091,0.47644,0.86104,70.19,0.7019,0.70797,0.7019,0.70076,7019,2981,2981,87019,,
CIFAR10,CNN,0.1,minkowski,15,0.7663,77.226,1.0101,7.36068,0.47433,0.84945,71.13,0.7113,0.71248,0.7113,0.70757,7113,2887,2887,87113,,
CIFAR10,CNN,0.1,minkowski,16,0.74566,77.8,0.99237,7.22351,0.47207,0.85153,71.03,0.7103,0.71455,0.7103,0.70863,7103,2897,2897,87103,,
CIFAR10,CNN,0.1,minkowski,17,0.71938,78.774,0.98118,7.13715,0.47079,0.85269,70.76,0.7076,0.71198,0.7076,0.70716,7076,2924,2924,87076,,
CIFAR10,CNN,0.1,minkowski,18,0.70145,79.396,0.96837,7.0465,0.47168,0.85903,70.97,0.7097,0.71263,0.7097,0.70718,7097,2903,2903,87097,,
CIFAR10,CNN,0.1,minkowski,19,0.67866,80.27,0.95914,6.96813,0.46869,0.84606,71.33,0.7133,0.71397,0.7133,0.71278,7133,2867,2867,87133,,
CIFAR10,CNN,0.1,minkowski,20,0.65733,80.902,0.94793,6.8859,0.46825,0.85338,71.31,0.7131,0.71319,0.7131,0.70957,7131,2869,2869,87131,1333.254,1268.04
CIFAR10,CNN,0.25,minkowski,1,2.19597,17.112,0.14689,2.04587,0.25085,2.07063,18.5,0.185,0.05165,0.185,0.07145,1850,8150,8150,81850,,
CIFAR10,CNN,0.25,minkowski,2,2.07729,19.084,0.18945,2.8561,0.25049,1.99524,19.84,0.1984,0.10181,0.1984,0.10385,1984,8016,8016,81984,,
CIFAR10,CNN,0.25,minkowski,3,2.01972,19.728,0.18531,2.83766,0.251,1.95102,19.27,0.1927,0.10134,0.1927,0.11342,1927,8073,8073,81927,,
CIFAR10,CNN,0.25,minkowski,4,1.97991,19.56,0.17607,2.73885,0.25923,1.91754,19.89,0.1989,0.10982,0.1989,0.12194,1989,8011,8011,81989,,
CIFAR10,CNN,0.25,minkowski,5,1.94954,20.016,0.16744,2.63478,0.26511,1.89251,19.84,0.1984,0.08813,0.1984,0.09987,1984,8016,8016,81984,,
CIFAR10,CNN,0.25,minkowski,6,1.92419,20.15,0.16245,2.57383,0.27027,1.87457,19.93,0.1993,0.08477,0.1993,0.10057,1993,8007,8007,81993,,
CIFAR10,CNN,0.25,minkowski,7,1.90435,20.596,0.15735,2.50251,0.27357,1.85641,20.43,0.2043,0.09846,0.2043,0.10854,2043,7957,7957,82043,,
CIFAR10,CNN,0.25,minkowski,8,1.88531,20.984,0.15487,2.46716,0.27624,1.84318,20.79,0.2079,0.13396,0.2079,0.11585,2079,7921,7921,82079,,
CIFAR10,CNN,0.25,minkowski,9,1.86987,21.254,0.15195,2.41667,0.27653,1.84029,21.22,0.2122,0.14765,0.2122,0.13128,2122,7878,7878,82122,,
CIFAR10,CNN,0.25,minkowski,10,1.85747,21.816,0.14952,2.3744,0.27722,1.82664,21.17,0.2117,0.1394,0.2117,0.126,2117,7883,7883,82117,,
CIFAR10,CNN,0.25,minkowski,11,1.84392,22.336,0.14786,2.34737,0.27987,1.81193,22.18,0.2218,0.14002,0.2218,0.13924,2218,7782,7782,82218,,
CIFAR10,CNN,0.25,minkowski,12,1.83126,22.954,0.14642,2.31314,0.27847,1.79814,22.63,0.2263,0.15011,0.2263,0.14107,2263,7737,7737,82263,,
CIFAR10,CNN,0.25,minkowski,13,1.81924,23.242,0.1458,2.29165,0.27842,1.81229,23.02,0.2302,0.15701,0.2302,0.15077,2302,7698,7698,82302,,
CIFAR10,CNN,0.25,minkowski,14,1.80924,23.764,0.14385,2.25979,0.28024,1.78552,23.33,0.2333,0.14809,0.2333,0.14845,2333,7667,7667,82333,,
CIFAR10,CNN,0.25,minkowski,15,1.7983,24.066,0.14408,2.24247,0.2764,1.77626,23.78,0.2378,0.14796,0.2378,0.15471,2378,7622,7622,82378,,
CIFAR10,CNN,0.25,minkowski,16,1.78748,24.8,0.14346,2.2257,0.27628,1.7688,24.16,0.2416,0.17338,0.2416,0.16223,2416,7584,7584,82416,,
CIFAR10,CNN,0.25,minkowski,17,1.77874,25.28,0.14287,2.20032,0.27499,1.76362,24.36,0.2436,0.15487,0.2436,0.16052,2436,7564,7564,82436,,
CIFAR10,CNN,0.25,minkowski,18,1.77009,25.446,0.14294,2.19115,0.27562,1.76071,24.88,0.2488,0.17145,0.2488,0.16637,2488,7512,7512,82488,,
CIFAR10,CNN,0.25,minkowski,19,1.76024,25.924,0.14259,2.17289,0.27285,1.75296,24.66,0.2466,0.1754,0.2466,0.16529,2466,7534,7534,82466,,
CIFAR10,CNN,0.25,minkowski,20,1.75228,26.208,0.14314,2.1666,0.27371,1.75314,25.26,0.2526,0.2164,0.2526,0.17805,2526,7474,7474,82526,422.66,417.26
CIFAR10,CNN,0.5,minkowski,1,2.30364,9.986,0.00028,0.00091,0.01706,2.30308,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.5,minkowski,2,2.3029,9.842,0.0,0.0,0.01568,2.30274,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.5,minkowski,3,2.30271,9.906,0.0,0.0,0.01568,2.30263,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.5,minkowski,4,2.30266,9.772,0.0,0.0,0.01568,2.30261,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.5,minkowski,5,2.30264,9.86,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.5,minkowski,6,2.30264,9.906,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.5,minkowski,7,2.30263,9.708,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.5,minkowski,8,2.30263,9.828,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.5,minkowski,9,2.30264,9.684,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.5,minkowski,10,2.30263,9.812,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.5,minkowski,11,2.30263,9.752,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.5,minkowski,12,2.30263,9.824,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.5,minkowski,13,2.30263,9.64,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.5,minkowski,14,2.30264,9.642,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.5,minkowski,15,2.30264,9.744,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.5,minkowski,16,2.30263,9.772,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.5,minkowski,17,2.30264,9.694,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.5,minkowski,18,2.30263,9.934,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.5,minkowski,19,2.30263,9.916,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.5,minkowski,20,2.30263,9.708,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,186.083,190.0
CIFAR10,CNN,0.75,minkowski,1,2.30368,9.908,0.00033,0.00115,0.01768,2.30298,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,minkowski,2,2.30287,9.766,0.0,0.0,0.01568,2.30269,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,minkowski,3,2.3027,9.958,0.0,0.0,0.01568,2.30262,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,minkowski,4,2.30266,9.786,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,minkowski,5,2.30264,9.82,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,minkowski,6,2.30264,9.606,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,minkowski,7,2.30264,9.792,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,minkowski,8,2.30264,9.822,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,minkowski,9,2.30264,9.686,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,minkowski,10,2.30264,9.804,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,minkowski,11,2.30263,9.64,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,minkowski,12,2.30264,9.766,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,minkowski,13,2.30263,9.814,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,minkowski,14,2.30264,9.77,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,minkowski,15,2.30264,9.774,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,minkowski,16,2.30263,9.796,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,minkowski,17,2.30263,9.9,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,minkowski,18,2.30264,9.738,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,minkowski,19,2.30264,9.86,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,minkowski,20,2.30264,9.606,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,185.855,190.0
CIFAR10,CNN,1.0,minkowski,1,2.30339,9.91,0.00022,0.00069,0.01689,2.30287,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,minkowski,2,2.30279,9.912,0.0,0.0,0.01568,2.30267,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,minkowski,3,2.30269,9.856,0.0,0.0,0.01568,2.30261,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,minkowski,4,2.30266,10.03,0.0,0.0,0.01568,2.3026,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,minkowski,5,2.30264,9.71,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,minkowski,6,2.30264,9.836,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,minkowski,7,2.30263,9.77,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,minkowski,8,2.30263,9.812,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,minkowski,9,2.30264,9.878,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,minkowski,10,2.30263,9.668,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,minkowski,11,2.30264,9.856,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,minkowski,12,2.30264,9.756,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,minkowski,13,2.30263,9.734,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,minkowski,14,2.30263,9.77,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,minkowski,15,2.30264,9.692,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,minkowski,16,2.30263,9.956,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,minkowski,17,2.30264,9.738,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,minkowski,18,2.30263,9.754,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,minkowski,19,2.30264,9.752,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,minkowski,20,2.30264,9.62,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,186.245,190.0
CIFAR10,CNN,1.25,minkowski,1,2.30414,9.966,0.00025,0.00085,0.01708,2.3032,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,minkowski,2,2.30297,9.966,0.0,0.0,0.01568,2.30276,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
